${0},,
"${0} ${1} already exists.","${0} ${1} on juba olemas.",
"${0} ${1} does not exist","${0} ${1} ei eksisteeri",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} on muudetud pärast laadimist, palun laadige kirje uuesti.",
"${0} ${1} is linked with existing records.","${0} ${1} on seotud olemasolevate kirjetega.",
"${0} account not set in Inventory Settings.","Konto ${0} ei ole varude seadetes määratud.",
"${0} already applied.","${0} on juba rakendatud.",
"${0} already saved","${0} on juba salvestatud",
"${0} already submitted","${0} on juba esitatud",
"${0} bank entries created","${0} pangakirjet loodud",
"${0} before ${1}","${0} enne ${1}",
"${0} cancelled","${0} tühistatud",
"${0} cannot be cancelled","${0} ei saa tühistada",
"${0} cannot be deleted","${0} ei saa kustutada",
"${0} deleted","${0} kustutatud",
"${0} does not have access to the selected file: ${1}","${0} ei pääse valitud failile ligi: ${1}",
"${0} duplicates skipped","${0} duplikaati vahele jäetud",
"${0} entries failed","${0} kirjet ebaõnnestus",
"${0} entries imported","${0} kirjet imporditud",
"${0} entry failed","${0} kirje ebaõnnestus",
"${0} entry imported","${0} kirje imporditud",
"${0} errors — see console","${0} viga — vaata konsooli",
"${0} errors, ${1} warnings. See first issues below.","${0} viga, ${1} hoiatust. Vaata esimesi probleeme allpool.",
"${0} fields selected","${0} välja valitud",
"${0} filters applied","${0} filtrit rakendatud",
"${0} has linked child accounts.","${0} omab seotud alamkontosid.",
"${0} of type ${1} does not exist","${0} tüüpi ${1} ei eksisteeri",
"${0} only has ${1} points","${0} on ainult ${1} punkti",
"${0} only has ${1} points (${2} will be earned from this transaction)","${0} on ainult ${1} punkti (${2} teenitakse selle tehinguga)",
"${0} out of ${1}","${0} / ${1}",
"${0} party ${1} is different from ${2}","${0} osapool ${1} erineb ${2}-st",
"${0} quantity ${1} added.","${0} kogus ${1} lisatud.",
"${0} quantity 1 added.","${0} kogus 1 lisatud.",
"${0} reverse-charge entries created","${0} pöördkäibemaksu kirjet loodud",
"${0} row added.","${0} rida lisatud.",
"${0} rows","${0} rida",
"${0} rows added.","${0} rida lisatud.",
"${0} saved","${0} salvestatud",
"${0} shortcuts","${0} otseteed",
"${0} stored at ${1}","${0} salvestatud asukohta ${1}",
"${0} submitted","${0} esitatud",
"${0} value ${1} does not exist.","${0} väärtus ${1} ei eksisteeri.",
/Users/you/.local/bin/arelleCmdLine,,
0%,,
"0% supplies total","0% käibe kokku",
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filter rakendatud",
12345678,,
"13% taxable supplies","13% maksustatav käive",
"20% taxable supplies (legacy)","20% maksustatav käive (ajalooline)",
2022-03-23,,
"22% taxable supplies (legacy)","22% maksustatav käive (ajalooline)",
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
"24% taxable supplies","24% maksustatav käive",
27AAAAA0000A1Z5,,
"5% taxable supplies","5% maksustatav käive",
"9% taxable supplies","9% maksustatav käive",
9888900000,,
"A submittable entry is deleted only if it is in the cancelled state.","Esitatav kirje kustutatakse ainult tühistatud olekus.",
"API Base URL","API baas-URL",
Account,Konto,
"Account ${0} does not exist.","Konto ${0} ei eksisteeri.",
"Account Entries","Konto kirjed",
"Account Name","Konto nimi",
"Account Type","Konto tüüp",
Accounting,Raamatupidamine,
"Accounting Entries",Raamatupidamiskirjed,
"Accounting Ledger Entry","Pearaamatu kirje",
"Accounting Services",Raamatupidamisteenused,
"Accounting Settings","Raamatupidamise seaded",
Accounts,Kontod,
"Accounts Payable","Võlad tarnijatele",
"Accounts Receivable","Ostjate nõuded",
"Accumulated Depreciation","Akumuleeritud kulum",
Action,Toiming,
Active,Aktiivne,
"Add Account","Lisa konto",
"Add Customers","Lisa kliente",
"Add Group","Lisa grupp",
"Add Items","Lisa kaupu",
"Add Row","Lisa rida",
