${0},,
"${0} ${1} already exists.","${0} ${1} уже существует.",
"${0} ${1} does not exist","${0} ${1} не существует",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} был изменён после загрузки, пожалуйста перезагрузите запись.",
"${0} ${1} is linked with existing records.","${0} ${1} связан с существующими записями.",
"${0} account not set in Inventory Settings.","Счёт ${0} не задан в настройках инвентаря.",
"${0} already applied.","${0} уже применён.",
"${0} already saved","${0} уже сохранён",
"${0} already submitted","${0} уже проведён",
"${0} bank entries created","Создано ${0} банковских записей",
"${0} before ${1}","${0} раньше ${1}",
"${0} cancelled","${0} отменён",
"${0} cannot be cancelled","${0} не может быть отменён",
"${0} cannot be deleted","${0} не может быть удалён",
"${0} deleted","${0} удалён",
"${0} does not have access to the selected file: ${1}","${0} не имеет доступа к выбранному файлу: ${1}",
"${0} duplicates skipped","Пропущено ${0} дублей",
"${0} entries failed","${0} записей не удалось",
"${0} entries imported","${0} записей импортировано",
"${0} entry failed","${0} запись не удалась",
"${0} entry imported","${0} запись импортирована",
"${0} errors — see console","${0} ошибок — см. консоль",
"${0} errors, ${1} warnings. See first issues below.","${0} ошибок, ${1} предупреждений. Первые проблемы ниже.",
"${0} fields selected","${0} полей выбрано",
"${0} filters applied","${0} фильтров применено",
"${0} has linked child accounts.","${0} имеет связанные дочерние счета.",
"${0} of type ${1} does not exist","${0} типа ${1} не существует",
"${0} only has ${1} points","${0} имеет только ${1} баллов",
"${0} only has ${1} points (${2} will be earned from this transaction)","${0} имеет только ${1} баллов (${2} будет начислено по этой транзакции)",
"${0} out of ${1}","${0} из ${1}",
"${0} party ${1} is different from ${2}","${0} контрагент ${1} отличается от ${2}",
"${0} quantity ${1} added.","Количество ${1} для ${0} добавлено.",
"${0} quantity 1 added.","Добавлено количество 1 для ${0}.",
"${0} reverse-charge entries created","Создано ${0} записей обратного начисления НДС",
"${0} row added.","Строка ${0} добавлена.",
"${0} rows","${0} строк",
"${0} rows added.","${0} строк добавлено.",
"${0} saved","${0} сохранён",
"${0} shortcuts","${0} горячих клавиш",
"${0} stored at ${1}","${0} сохранён в ${1}",
"${0} submitted","${0} проведён",
"${0} value ${1} does not exist.","Значение ${0} ${1} не существует.",
/Users/you/.local/bin/arelleCmdLine,,
0%,,
"0% supplies total","Итого поставок 0%",
03-23-2022,,
03/23/2022,,
"1 filter applied","1 фильтр применён",
12345678,,
"13% taxable supplies","Облагаемые поставки 13%",
"20% taxable supplies (legacy)","Облагаемые поставки 20% (историческая)",
2022-03-23,,
"22% taxable supplies (legacy)","Облагаемые поставки 22% (историческая)",
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
"24% taxable supplies","Облагаемые поставки 24%",
27AAAAA0000A1Z5,,
"5% taxable supplies","Облагаемые поставки 5%",
"9% taxable supplies","Облагаемые поставки 9%",
9888900000,,
"A submittable entry is deleted only if it is in the cancelled state.","Проводимая запись удаляется только в отменённом состоянии.",
"API Base URL","Базовый URL API",
Account,Счёт,
"Account ${0} does not exist.","Счёт ${0} не существует.",
"Account Entries","Записи счёта",
"Account Name","Название счёта",
"Account Type","Тип счёта",
Accounting,Бухгалтерия,
"Accounting Entries","Бухгалтерские записи",
"Accounting Ledger Entry","Запись в бухгалтерской книге",
"Accounting Services","Бухгалтерские услуги",
"Accounting Settings","Настройки бухгалтерии",
Accounts,Счета,
"Accounts Payable","Кредиторская задолженность",
"Accounts Receivable","Дебиторская задолженность",
"Accumulated Depreciation","Накопленная амортизация",
Action,Действие,
Active,Активный,
"Add Account","Добавить счёт",
"Add Customers","Добавить клиентов",
"Add Group","Добавить группу",
"Add Items","Добавить позиции",
"Add Row","Добавить строку",
"Add Suppliers","Добавить поставщиков",
"Add Taxes","Добавить налоги",
"Add a few customers to create your first sales invoice","Добавьте несколько клиентов для создания первого счёта-фактуры",
"Add a few suppliers to create your first purchase invoice","Добавьте несколько поставщиков для создания первого счёта на покупку",
"Add a filter","Добавить фильтр",
"Add a remark","Добавить примечание",
"Add attachment","Добавить вложение",
"Add invoice terms","Добавить условия счёта",
"Add products or services that you buy from your suppliers","Добавьте товары или услуги, которые вы покупаете у поставщиков",
"Add products or services that you sell to your customers","Добавьте товары или услуги, которые вы продаёте клиентам",
"Add quote terms","Добавить условия предложения",
"Add transfer terms","Добавить условия перевода",
"Add'l Discounts","Доп. скидки",
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","Требуется дополнительно ${0} серийных номеров для ${1} количества ${2}.",
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","Требуется дополнительное количество (${0})${1} для исходящего перемещения товара ${2} из ${3} ${4}",
Address,Адрес,
"Address Display","Отображение адреса",
"Address Line 1","Адрес строка 1",
"Address Line 2","Адрес строка 2",
"Address Name","Название адреса",
"Adjustments (+)","Корректировки (+)",
"Adjustments (-)","Корректировки (-)",
"Administrative Expenses","Административные расходы",
Alert,Предупреждение,
All,Все,
"Allow to bypass filters","Разрешить обход фильтров",
Amount,Сумма,
"Amount (EUR)","Сумма (EUR)",
"Amount Paid","Оплаченная сумма",
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Сумма: ${0} и списание: ${1} меньше общей суммы, выделенной для ссылок: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Сумма: ${0} меньше общей суммы, выделенной для ссылок: ${1}.",
Amounts,Суммы,
"An entry is cancelled only if it is in the submitted state.","Запись отменяется только в проведённом состоянии.",
"An entry is submitted only if it is submittable and is in the saved state.","Запись проводится только если она проводимая и находится в сохранённом состоянии.",
"An error occurred.","Произошла ошибка.",
And,И,
"Annual Report","Годовой отчёт",
"Annual Report (XBRL)","Годовой отчёт (XBRL)",
"Applicable anywhere in ${0}","Применимо везде в ${0}",
"Applicable when POS is open","Применимо при открытой кассе",
"Applicable when Quick Search is open","Применимо при открытом быстром поиске",
"Applicable when Template Builder is open","Применимо при открытом конструкторе шаблонов",
"Applicable when a entry is open in the Form view or Quick Edit view","Применимо при открытой записи в виде формы или быстрого редактирования",
"Applicable when the List View of an entry type is open","Применимо при открытом списке записей",
"Application of Funds (Assets)","Размещение средств (Активы)",
"Applied Coupon Codes","Применённые купоны",
"Applied Items","Применённые товары",
Apply,Применить,
"Apply Discount After Tax","Применить скидку после налогов",
"Apply Price List","Применить прайс-лист",
"Apply and view changes made to the print template","Применить и просмотреть изменения шаблона печати",
April,Апрель,
Arelle,Arelle,
"Arelle CLI Path","Путь к Arelle CLI",
"Arelle CLI path not configured — XBRL validation unavailable. Set path in Accounting Settings.","Путь к Arelle CLI не настроен — проверка XBRL недоступна. Укажите путь в настройках бухгалтерии.",
"Arelle CLI path not set","Путь к Arelle CLI не задан",
"Arelle binary not found","Исполняемый файл Arelle не найден",
Arial,,
"Ascending Order","По возрастанию",
Asset,Актив,
"Attach Image","Прикрепить изображение",
"Attach Invoice","Прикрепить счёт",
Attachment,Вложение,
August,Август,
"Auth Token","Токен авторизации",
"Auto Payments",Автоплатежи,
"Auto Stock Transfer","Автоматическое перемещение запасов",
Auto-submit,Автопроведение,
Autocomplete,Автодополнение,
"Available Loyalty Points","Доступные бонусные баллы",
Back,Назад,
"Back Reference","Обратная ссылка",
"Bad import data, could not read file.","Некорректные данные импорта, не удалось прочитать файл.",
Balance,Баланс,
"Balance Amount","Сумма баланса",
"Balance Sheet","Бухгалтерский баланс",
"Balance sheet does not balance — Assets ≠ Liabilities + Equity. Fix ledger before exporting.","Баланс не сходится — Активы ≠ Обязательства + Капитал. Исправьте главную книгу перед экспортом.",
Bank,Банк,
"Bank Account","Банковский счёт",
"Bank Accounts","Банковские счета",
"Bank Archival ID","Архивный ID банка",
"Bank Entry","Банковская запись",
"Bank Import","Импорт банковских выписок",
"Bank Name","Название банка",
"Bank Overdraft Account","Счёт овердрафта",
"Banking Services","Банковские услуги",
Barcode,Штрихкод,
"Barcode ${0} has an invalid length.","Штрихкод ${0} имеет недопустимую длину.",
"Barcode must be exactly 12 digits.","Штрихкод должен состоять ровно из 12 цифр.",
"Base Grand Total","Базовая итоговая сумма",
"Based On","На основе",
Batch,Партия,
"Batch ${0} does not belong to Item ${1}","Партия ${0} не принадлежит товару ${1}",
"Batch ${0} only has ${1} quantity available but ${2} is required","В партии ${0} доступно только ${1}, но требуется ${2}",
"Batch Series","Серия партий",
"Batch Series cannot contain the following characters: /, ?, &, =, %","Серия партий не может содержать следующие символы: /, ?, &, =, %",
"Batch not set for row ${0}.","Партия не задана для строки ${0}.",
"Batch set for row ${0}.","Партия задана для строки ${0}.",
"Bill Created","Счёт создан",
Billing,"Выставление счетов",
Billion,Миллиард,
Black,Чёрный,
Blue,Синий,
Both,Оба,
"Both From and To Location cannot be undefined","Местоположения «Откуда» и «Куда» не могут быть неопределены",
Buildings,Здания,
CHE-123.456.789,,
"CSV import is not yet supported for ${0}. Export a CAMT.053 XML statement instead.","CSV-импорт для ${0} пока не поддерживается. Экспортируйте выписку в формате CAMT.053 XML.",
"Can Change Discount","Можно изменить скидку",
"Can Change Rate","Можно изменить ставку",
Cancel,Отмена,
"Cancel ${0}?","Отменить ${0}?",
"Cancel Button Colour","Цвет кнопки отмены",
"Cancel or Delete an entry.","Отменить или удалить запись.",
Cancelled,Отменён,
"Cannot Commit Error","Ошибка сохранения",
"Cannot Delete","Невозможно удалить",
"Cannot Delete Account","Невозможно удалить счёт",
"Cannot Export","Невозможно экспортировать",
"Cannot Import","Невозможно импортировать",
"Cannot Open File","Невозможно открыть файл",
"Cannot add an item to a submitted invoice.","Нельзя добавить позицию к проведённому счёту.",
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}","Невозможно отменить ${0} ${1} из-за следующего ${2}: ${3}",
"Cannot cancel ${0} because of the following ${1}: ${2}","Невозможно отменить ${0} из-за следующего ${1}: ${2}",
"Cannot delete ${0} ""${1}"" because of linked entries.","Невозможно удалить ${0} ""${1}"" из-за связанных записей.",
"Cannot open file","Невозможно открыть файл",
"Cannot perform operation.","Невозможно выполнить операцию.",
"Cannot read file","Невозможно прочитать файл",
"Capital Equipments","Основное оборудование",
"Capital Stock","Уставный капитал",
Cash,Наличные,
"Cash Denominations","Номиналы наличных",
"Cash Entry","Кассовая запись",
"Cash In Denominations","Наличные по номиналам",
"Cash In Hand","Наличные в кассе",
"Cash and Bank","Наличные и банк",
Cashflow,"Денежный поток",
Ceil,"Округление вверх",
"Central Tax","Центральный налог",
"Change DB","Сменить БД",
"Change File","Сменить файл",
"Change Ref Type","Сменить тип ссылки",
"Changes made to settings will be visible on reload.","Изменения настроек будут видны после перезагрузки.",
Chargeable,Оплачиваемый,
"Chart Of Accounts Reviewed","План счетов проверен",
"Chart of Accounts","План счетов",
Check,Чек,
"Check Digits","Контрольные цифры",
"City / Town","Город / Населённый пункт",
"Claims to Owner","Требования к собственнику",
Classic,Классический,
Clear,Очистить,
"Clear Synced Data From ERPNext SyncQueue","Очистить синхронизированные данные из очереди ERPNext",
"Clearance Date","Дата клиринга",
"Clearance Date not set.","Дата клиринга не задана.",
"Clicking continue will remove all the selected items.","Нажав «Продолжить», вы удалите все выбранные позиции.",
Close,Закрыть,
"Close ${0} and try manually.","Закройте ${0} и попробуйте вручную.",
"Close POS Shift","Закрыть смену PoS",
"Close Quick Search","Закрыть быстрый поиск",
Closing,Закрытие,
"Closing ${0} Amount can not be negative.","Сумма закрытия ${0} не может быть отрицательной.",
"Closing (Cr)","Закрытие (Кр)",
"Closing (Dr)","Закрытие (Дб)",
"Closing Amount","Сумма закрытия",
"Closing Amounts","Суммы закрытия",
"Closing Cash","Закрытие кассы",
"Closing Cash In Denominations","Закрытие кассы по номиналам",
"Closing Date","Дата закрытия",
Collapse,Свернуть,
"Collection Factor","Коэффициент накопления",
"Collection Rules","Правила накопления",
Color,Цвет,
Colour,Цвет,
"Commission on Sales","Комиссия с продаж",
Common,Общее,
Company,Компания,
"Company Logo","Логотип компании",
"Company Name","Название компании",
"Company Setup","Настройка компании",
Completed,Завершён,
"Computers and Equipment","Компьютеры и оборудование",
Condition,Условие,
"Consolidate Columns","Консолидировать столбцы",
"Consultations and Training","Консультации и обучение",
Consumer,Потребитель,
Contact,Контакт,
Contacts,Контакты,
Contains,Содержит,
Context,Контекст,
Continue,Продолжить,
"Continue submitting Sales Invoice?","Продолжить проведение счёта-фактуры?",
"Contra Entry","Контрарная запись",
"Conversion Error","Ошибка конвертации",
"Conversion Factor","Коэффициент конвертации",
Converted,Конвертировано,
"Coop Pank","Coop Pank",
"Cost Of Goods Sold Acc.","Счёт себестоимости продаж",
"Cost of Goods Sold","Себестоимость продаж",
"Could not connect to database file ${0}, please select the file manually","Не удалось подключиться к файлу базы данных ${0}, выберите файл вручную",
Count,Количество,
"Counter Cash Account","Счёт кассы",
Counterparty,Контрагент,
Country,Страна,
"Country Code","Код страны",
"Country code used to initialize regional settings.","Код страны для инициализации региональных настроек.",
"Coupon ${0} is not applicable for applied items.","Купон ${0} не применим к выбранным товарам.",
"Coupon Code",Купон,
"Coupon Name","Название купона",
Coupons,Купоны,
Courier,Courier,
Cr.,Кр.,
"Cr. ${0}","Кр. ${0}",
Create,Создать,
"Create ${0} Entries","Создать ${0} записей",
"Create Demo","Создать демо",
"Create Journal Entries","Создать журнальные записи",
"Create Payment.","Создать платёж.",
"Create Purchase","Создать закупку",
"Create Purchase Invoice","Создать счёт на закупку",
"Create Sale","Создать продажу",
"Create Sales Invoice","Создать счёт-фактуру",
"Create a demo company to try out ${0}","Создайте демо-компанию, чтобы попробовать ${0}.",
"Create a new company and store it on your computer","Создайте новую компанию и сохраните её на компьютере",
"Create a new company or select an existing one from your computer","Создайте новую компанию или выберите существующую на компьютере",
"Create a new entry of the same type as the List View","Создать новую запись того же типа, что в списке",
"Create new ${0} entry?","Создать новую запись ${0}?",
"Create your first purchase invoice from the created supplier","Создайте первый счёт на закупку от созданного поставщика",
"Create your first sales invoice for the created customer","Создайте первый счёт-фактуру для созданного клиента",
Created,Создано,
"Created By","Создано пользователем",
"Created as drafts — review and attach invoices, then submit.","Созданы как черновики — проверьте и прикрепите счета, затем проведите.",
"Creating Items and Parties","Создание товаров и контрагентов",
"Creating Journal Entries","Создание журнальных записей",
"Creating Purchase Invoices","Создание счетов на закупку",
Credit,Кредит,
"Credit Card Entry","Запись по кредитной карте",
"Credit Note",Кредит-нота,
Creditors,Кредиторы,
Currency,Валюта,
"Currency Name","Название валюты",
Current,Текущий,
"Current Assets","Оборотные активы",
"Current Liabilities","Краткосрочные обязательства",
"Custom Field","Пользовательское поле",
"Custom Fields","Пользовательские поля",
"Custom Form","Пользовательская форма",
"Custom Hex","Произвольный шестнадцатеричный",
Customer,Клиент,
"Customer Created","Клиент создан",
"Customer Currency","Валюта клиента",
"Customer has no loyalty points to redeem","У покупателя нет бонусных баллов для погашения",
Customers,Клиенты,
Customizations,Настройки,
"Customize Form","Настроить форму",
"Customize your invoices by adding a logo and address details","Настройте счета-фактуры, добавив логотип и адресные данные",
"Dark mode","Тёмная тема",
Dashboard,"Панель управления",
Data,Данные,
"Data Sync Interval (In Minutes)","Интервал синхронизации данных (в минутах)",
"Database Error","Ошибка базы данных",
"Database file: ${0}","Файл базы данных: ${0}",
Date,Дата,
"Date Format","Формат даты",
"Date Time","Дата и время",
Day,День,
Debit,Дебет,
"Debit Note",Дебет-нота,
Debtors,Дебиторы,
December,Декабрь,
"Decrease print template display scale","Уменьшить масштаб шаблона печати",
Default,"По умолчанию",
"Default Account","Счёт по умолчанию",
"Default Cash Denominations","Номиналы наличных по умолчанию",
"Default Location","Местоположение по умолчанию",
Defaults,"Значения по умолчанию",
Delete,Удалить,
"Delete ${0}?","Удалить ${0}?",
"Delete Account","Удалить счёт",
"Delete Failed","Удаление не удалось",
"Delete Group","Удалить группу",
Delivered,Доставлено,
Denomination,Номинал,
Depreciation,Амортизация,
